iteration,_is_super,_lambda,_scale_factor,mfgw,mk_rest_l1,mk_rest_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,0.27598,0.229171,2,0.2
0,0,0.1,0.75,1.46685,0.380766,0.331222,1.68179,0.29907
0,0,0.1,1.1,1.66667,0.242641,0.197777,2,0.2
0,0,1,1,1.50966,1.07909,2.22222,2,0.2
0,0,1,0.75,1.36194,1.05875,1.82008,1.68179,0.29907
0,0,1,1.1,1.57314,1.08734,2.22222,2,0.2
0,0,10,1,1.05365,1.02656,1.26057,1.86442,0.502387
0,0,10,0.75,1.03997,1.01985,1.18967,1.59554,0.596732
0,0,10,1.1,1.05917,1.02925,1.2901,1.98426,0.468967
0,0,100,1,1.00479,0.994166,0.956647,1.16345,0.949347
0,0,100,0.75,1.00359,0.995622,0.967306,1.12024,0.961764
0,0,100,1.1,1.00527,0.993585,0.952417,1.1812,0.944425
0,0,1000,1,1.0003,0.997036,0.977085,1.03759,1.00097
0,0,1000,0.75,1.00022,0.997776,0.982764,1.02806,1.00073
0,0,1000,1.1,1.00033,0.99674,0.974822,1.04143,1.00107
1,0,0.1,1,1.66667,0.111111,1.93916,2,0.2
1,0,0.1,0.75,1.48131,0.193398,1.71619,1.89016,0.262856
1,0,0.1,1.1,1.66667,0.111111,2.03625,2,0.2
1,0,1,1,1.4449,0.680939,2.22222,2,0.2
1,0,1,0.75,1.33087,0.753296,1.90085,1.89016,0.262856
1,0,1,1.1,1.4932,0.653981,2.22222,2,0.2
1,0,10,1,1.06639,0.977747,1.43403,1.88928,0.382738
1,0,10,0.75,1.05973,0.988107,1.3686,1.81113,0.427682
1,0,10,1.1,1.06907,0.973633,1.46107,1.92148,0.366112
1,0,100,1,1.04279,1.01675,1.22354,1.60698,0.569491
1,0,100,0.75,1.04209,1.01753,1.21498,1.60411,0.576183
1,0,100,1.1,1.04307,1.01644,1.22698,1.60812,0.566837
1,0,1000,1,1.04039,1.02,1.19684,1.59046,0.593714
1,0,1000,0.75,1.04029,1.01996,1.19504,1.59173,0.594467
1,0,1000,1.1,1.04043,1.02002,1.19756,1.58995,0.593413
2,0,0.01,1,1.6667,0.111111,2.12338,2,0.2
2,0,0.01,0.75,1.66667,0.111111,2.10125,2,0.2
2,0,0.01,1.1,1.66667,0.111111,2.13229,2,0.2
2,0,0.1,1,1.6667,0.111111,2.12334,2,0.2
2,0,0.1,0.75,1.66667,0.111111,2.10123,2,0.2
2,0,0.1,1.1,1.66667,0.111111,2.13226,2,0.2
2,0,1,1,1.6667,0.111111,2.12303,2,0.2
2,0,1,0.75,1.66667,0.111111,2.101,2,0.2
2,0,1,1.1,1.66667,0.111111,2.13191,2,0.2
2,0,10,1,1.6667,0.111111,2.12003,2,0.2
2,0,10,0.75,1.66667,0.111111,2.09877,2,0.2
2,0,10,1.1,1.66667,0.111111,2.1286,2,0.2
2,0,100,1,1.6667,0.111139,2.07477,1.97419,0.2
2,0,100,0.75,1.66667,0.111132,2.06507,1.98061,0.2
2,0,100,1.1,1.66667,0.111142,2.07866,1.97163,0.2
2,0,1000,1,1.6667,0.111164,2.05001,1.98562,0.2
2,0,1000,0.75,1.66667,0.111151,2.04656,1.9892,0.2
2,0,1000,1.1,1.66667,0.111169,2.05139,1.98419,0.2
3,0,0.01,1,1.6667,0.111111,2.12656,2,0.2
3,0,0.01,0.75,1.66667,0.111111,2.1279,2,0.2
3,0,0.01,1.1,1.66667,0.111111,2.12603,2,0.2
3,0,0.1,1,1.6667,0.111111,2.12656,2,0.2
3,0,0.1,0.75,1.66667,0.111111,2.1279,2,0.2
3,0,0.1,1.1,1.66667,0.111111,2.12603,2,0.2
3,0,1,1,1.6667,0.111111,2.12658,2,0.2
3,0,1,0.75,1.66667,0.111111,2.12791,2,0.2
3,0,1,1.1,1.66667,0.111111,2.12605,2,0.2
3,0,10,1,1.6667,0.111111,2.12677,2,0.2
3,0,10,0.75,1.66667,0.111111,2.12806,2,0.2
3,0,10,1.1,1.66667,0.111111,2.12626,2,0.2
3,0,100,1,1.6667,0.111111,2.12814,2,0.2
3,0,100,0.75,1.66667,0.111111,2.12908,2,0.2
3,0,100,1.1,1.66667,0.111111,2.12776,2,0.2
3,0,1000,1,1.6667,0.111111,2.13088,2,0.2
3,0,1000,0.75,1.66667,0.111111,2.13114,2,0.2
3,0,1000,1.1,1.66667,0.111111,2.13077,2,0.2
