iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,1,0.932781,2.22222,2,1
0,0,0.1,0.75,1.46685,1,0.94915,1.82008,1.68179,1
0,0,0.1,1.1,1.66667,1,0.926313,2.22222,2,1
0,0,1,1,1.47552,1,0.91739,2.22222,2,1
0,0,1,0.75,1.33878,1,0.93738,1.82008,1.68179,1
0,0,1,1.1,1.53405,1,0.909514,2.22222,2,1
0,0,10,1,1.04072,1,0.988889,1.39908,1.1456,1
0,0,10,0.75,1.03039,1,0.991655,1.28642,1.10733,1
0,0,10,1.1,1.04488,1,0.987784,1.44686,1.16128,1
0,0,100,1,1.00478,1,1.0001,1.0844,0.954259,1
0,0,100,0.75,1.00358,1,1.00007,1.06265,0.965494,1
0,0,100,1.1,1.00526,1,1.0001,1.09322,0.949802,1
0,0,1000,1,1.00084,1,1.00061,1.03056,0.966926,1
0,0,1000,0.75,1.00063,1,1.00046,1.02284,0.975091,1
0,0,1000,1.1,1.00093,1,1.00067,1.03367,0.96368,1
1,0,0.1,1,0.597549,1,0.111111,2.22222,2,1
1,0,0.1,0.75,0.687143,1,0.19186,1.99617,1.74585,1
1,0,0.1,1.1,0.565072,1,0.111111,2.22222,2,1
1,0,1,1,0.981392,1,0.680414,2.22222,2,1
1,0,1,0.75,0.996893,1,0.746871,1.99617,1.74585,1
1,0,1,1.1,0.975259,1,0.655518,2.22222,2,1
1,0,10,1,1.03818,1,0.951117,1.65338,1.28834,1
1,0,10,0.75,1.03985,1,0.960154,1.59914,1.25533,1
1,0,10,1.1,1.03751,1,0.947526,1.67559,1.30179,1
1,0,100,1,1.04421,1,0.984049,1.46592,1.1743,1
1,0,100,0.75,1.04438,1,0.984982,1.46113,1.17103,1
1,0,100,1.1,1.04414,1,0.983676,1.46784,1.17561,1
1,0,1000,1,1.04482,1,0.98741,1.4485,1.16284,1
1,0,1000,0.75,1.04483,1,0.987504,1.44809,1.16245,1
1,0,1000,1.1,1.04481,1,0.987373,1.44867,1.163,1
2,0,0.1,1,1.66667,1,0.53742,2.22222,2,1
2,0,0.1,0.75,1.48042,1,0.619275,2.07077,1.79642,1
2,0,0.1,1.1,1.66667,1,0.507793,2.22222,2,1
2,0,1,1,1.20409,1,0.874898,2.22222,2,1
2,0,1,0.75,1.16009,1,0.892516,2.07077,1.79642,1
2,0,1,1.1,1.22215,1,0.867949,2.22222,2,1
2,0,10,1,1.0533,1,0.939468,1.93224,1.47115,1
2,0,10,0.75,1.04933,1,0.941476,1.86461,1.42685,1
2,0,10,1.1,1.05489,1,0.938666,1.95998,1.48926,1
2,0,100,1,1.03907,1,0.946695,1.69736,1.32043,1
2,0,100,0.75,1.03868,1,0.946903,1.69189,1.31574,1
2,0,100,1.1,1.03923,1,0.946612,1.69956,1.32231,1
2,0,1000,1,1.03766,1,0.947437,1.67681,1.30453,1
2,0,1000,0.75,1.03763,1,0.947459,1.6765,1.30384,1
2,0,1000,1.1,1.03768,1,0.947428,1.67693,1.3048,1
