obs_id,layer,cellid
w_1A_PLANTEL_SN_JUAN,1,21962
w_1B_SAN_EDUARDO,1,23857
w_1C_QUINTA_ROSARIO,1,24402
w_2A_DZILAM_BRAVO,1,19107
w_2B_DZILAM_GLEZ,1,22596
w_2C_SAN_GREGORIO,1,24439
w_3A_SAN_FELIPE,1,11626
w_3B_SANTA_PILAR,1,22309
w_3C_SAN_ISIDRO,1,11078
w_4A_LA_CURVA,1,11435
w_4B_MOCTEZUMA,1,23911
w_4C_VISTA_HERMOSA,1,23680
ASM_01,1,22606
ASM_02,1,19056
ASM_03,1,20406
ASM_04,1,22825
ASM_05,1,23722
ASM_06,1,23268
ASM_07,1,23271
ASM_08,1,3911
ASM_09,1,13878
ASM_10,1,12556
ASM_11,1,15102
ASM_12,1,23272
ASM_13,1,21857
ASM_14,1,23642
ASM_15,1,19071
ASM_16,1,3647
ASM_17,1,22193
ASM_18,1,23938
ASM_19,1,21971
ASM_20,1,15200
ASM_22,1,20400
ASM_23,1,22713
ASM_24,1,22986
ASM_25,1,24316
ASM_27,1,24330
ASM_28,1,23715
ASM_30,1,24570
ASM_32,1,23714
ASM_33,1,23620
ASM_34,1,22081
ASM_35,1,20233
ASM_36,1,23798
ASM_37,1,24735
ASM_40,1,22828
ASM_41,1,22375
ASM_42,1,24725
ASM_43,1,24725
ASM_44,1,18243
ASM_45,1,23025
ASM_46,1,20395
ASO_1,1,23408
ASO_10,1,23898
ASO_12,1,23624
ASO_13,1,23624
ASO_14,1,25216
ASO_15,1,25036
ASO_16,1,25036
ASO_17,1,25216
ASO_18,1,24771
ASO_19,1,25035
ASO_2,1,24730
ASO_21,1,25031
ASO_22,1,21991
ASO_23,1,22749
ASO_3,1,23878
ASO_37,1,23898
ASO_38,1,25034
ASO_39,1,24729
ASO_4,1,24729
ASO_5,1,25034
ASO_6,1,24729
ASO_7,1,25222
ASO_8,1,24726
ASO_9,1,24770
B1_BACA,1,23890
B2_MOTUL,1,24387
B3_SACAPUC,1,24509
B4_TIMUL,1,23058
CONAGUA,1,3484
CU01,1,22141
CU02,1,20287
CU03,1,22985
CU04,1,20286
CU05,1,3446
CU06,1,23796
CU07,1,22182
CU08,1,19061
CU09,1,23059
CU10,1,3453
CU11,1,22375
CU12,1,22187
CU13,1,21839
CU14,1,3684
CU15,1,23271
CU16,1,22815
CU17,1,23723
CU18,1,24735
CU19,1,24735
CU20,1,24735
MI1_SIGLO_XX1,1,23617
MI2_THO_O,1,24508
MI3_HACIENDA_X_LUCH,1,23499
MP1_FIUADY,1,22811
MP2_KOMCHEN,1,23722
MP3_PREDECO,1,22194
MP4_CONTENEDORES,1,21190
OBSERVATORIO,1,20287
P1_CELEST_N,1,22135
P2_CHUNCHUCMIL,1,24114
P3_AMARIS_II,1,21075
P4_NOHUAYUN,1,24760
P5_SISAL,1,23593
P6_TAMCHEN,1,23991
RM_10_SAGARPA,1,3453
RM_16_RANCHO,1,22814
RM_17_DZIDZILCHE,1,23723
RM_19_CRIO,1,23166
RM_20_BAAG,1,23938
RM01_DEPORTIVO_SUR,1,22141
RM02_OBERVATORIO,1,20287
RM03_ACUAPARQUE,1,22985
RM04_BOMBEROS,1,24748
RM05_PORTES_GIL,1,3446
RM06_CHALMUCH,1,23796
RM07_ANICABIL,1,22182
RM08_CHENKU,1,19061
RM09_TECNOLOGICO,1,23059
RM11UCU,1,22375
RM12CHEUMAN,1,22187
RM13TIXCUYTUN,1,21839
RM14MEGALITA,1,3684
RM15SIERRA_PAPACAL,1,23271
RM18_SAC_NICTE,1,23939
