iteration,_is_super,_lambda,_scale_factor,mfgw,mk_rest_l1,mk_rest_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
0,0,0.1,1,1.66667,0.33,0.33,0.6,0.6,1.14645,0.2
0,0,0.1,0.75,1.46685,0.435397,0.435397,0.681732,0.681732,1.10794,0.29907
0,0,0.1,1.1,1.66667,0.33,0.33,0.6,0.6,1.16223,0.2
0,0,1,1,1.57664,0.69444,1.98569,0.888832,0.6,2,0.2
0,0,1,0.75,1.40702,0.760722,1.67276,0.915408,0.681732,1.68179,0.29907
0,0,1,1.1,1.65008,0.669573,2.12668,0.878419,0.6,2,0.2
0,0,10,1,1.04589,0.950081,1.5214,0.981424,0.877261,1.56356,0.412893
0,0,10,0.75,1.03423,0.962322,1.36988,0.986035,0.906456,1.39825,0.515084
0,0,10,1.1,1.0506,0.945228,1.5866,0.979585,0.865849,1.63503,0.377938
0,0,100,1,1.00526,0.995849,1.1259,0.997749,0.98434,0.987064,0.884837
0,0,100,0.75,1.00394,0.996885,1.09301,0.998311,0.988232,0.990283,0.91232
0,0,100,1.1,1.00578,0.995435,1.13933,0.997524,0.982788,0.98578,0.874077
0,0,1000,1,1.0009,1.00029,1.04417,0.999708,0.997903,0.966187,0.979397
0,0,1000,0.75,1.00067,1.00021,1.03295,0.999781,0.998427,0.974532,0.984508
0,0,1000,1.1,1.00099,1.00031,1.04869,0.999678,0.997694,0.962869,0.977361
1,0,0.1,1,1.66667,0.33,2.28315,0.6,0.6,2,0.2
1,0,0.1,0.75,1.66251,0.393854,2.24299,0.659992,0.6,2,0.2
1,0,0.1,1.1,1.66667,0.33,2.29942,0.6,0.6,2,0.2
1,0,1,1,1.66667,0.33,2.2072,0.779847,0.6,2,0.2
1,0,1,0.75,1.66251,0.393854,2.18679,0.803401,0.6,2,0.2
1,0,1,1.1,1.66667,0.33,2.21542,0.77062,0.6,2,0.2
1,0,10,1,1.66667,0.620838,2.19683,0.867922,0.6,2,0.2
1,0,10,0.75,1.66251,0.632679,2.17908,0.870534,0.6,2,0.2
1,0,10,1.1,1.66667,0.616164,2.20397,0.866879,0.6,2,0.2
1,0,100,1,1.6565,0.664614,2.15945,0.877349,0.6,1.97799,0.2
1,0,100,0.75,1.6549,0.66585,2.15121,0.877616,0.6,1.98347,0.2
1,0,100,1.1,1.65714,0.66412,2.16276,0.877242,0.6,1.9758,0.2
1,0,1000,1,1.65081,0.669108,2.13935,0.878307,0.6,1.98769,0.2
1,0,1000,0.75,1.65064,0.669224,2.13618,0.878335,0.6,1.99076,0.2
1,0,1000,1.1,1.65089,0.669061,2.14062,0.878296,0.6,1.98646,0.2
2,0,0.1,1,1.6667,0.33,2.2079,0.779847,0.6,2,0.2
2,0,0.1,0.75,1.66667,0.33,2.20772,0.779847,0.6,2,0.2
2,0,0.1,1.1,1.66667,0.33,2.20796,0.779847,0.6,2,0.2
2,0,1,1,1.6667,0.33,2.20789,0.779847,0.6,2,0.2
2,0,1,0.75,1.66667,0.33,2.20772,0.779847,0.6,2,0.2
2,0,1,1.1,1.66667,0.33,2.20796,0.779847,0.6,2,0.2
2,0,10,1,1.6667,0.33,2.20787,0.779847,0.6,2,0.2
2,0,10,0.75,1.66667,0.33,2.2077,0.779847,0.6,2,0.2
2,0,10,1.1,1.66667,0.33,2.20794,0.779847,0.6,2,0.2
2,0,100,1,1.6667,0.33,2.20772,0.779847,0.6,2,0.2
2,0,100,0.75,1.66667,0.33,2.20759,0.779847,0.6,2,0.2
2,0,100,1.1,1.66667,0.33,2.20777,0.779847,0.6,2,0.2
2,0,1000,1,1.6667,0.33,2.20736,0.779847,0.6,2,0.2
2,0,1000,0.75,1.66667,0.33,2.20732,0.779847,0.6,2,0.2
2,0,1000,1.1,1.66667,0.33,2.20737,0.779847,0.6,2,0.2
