obs_id,layer,rows,cols
w_1A_PLANTEL_SN_JUAN,1,64,162
w_1B_SAN_EDUARDO,1,77,160
w_1C_QUINTA_ROSARIO,1,89,160
w_2A_DZILAM_BRAVO,1,56,212
w_2B_DZILAM_GLEZ,1,67,209
w_2C_SAN_GREGORIO,1,82,207
w_3A_SAN_FELIPE,1,22,301
w_3B_SANTA_PILAR,1,36,301
w_3C_SAN_ISIDRO,1,51,301
w_4A_LA_CURVA,1,33,376
w_4B_MOCTEZUMA,1,47,375
w_4C_VISTA_HERMOSA,1,65,368
ASM_01,1,127,113
ASM_02,1,112,111
ASM_03,1,109,111
ASM_04,1,106,111
ASM_05,1,101,107
ASM_06,1,102,101
ASM_07,1,97,97
ASM_08,1,81,84
ASM_09,1,72,86
ASM_10,1,69,96
ASM_11,1,66,107
ASM_12,1,81,107
ASM_13,1,94,110
ASM_14,1,96,114
ASM_15,1,103,118
ASM_16,1,107,126
ASM_17,1,95,127
ASM_18,1,77,120
ASM_19,1,72,119
ASM_20,1,66,111
ASM_22,1,121,121
ASM_23,1,127,123
ASM_24,1,133,121
ASM_25,1,144,129
ASM_27,1,157,135
ASM_28,1,157,127
ASM_30,1,146,117
ASM_32,1,154,106
ASM_33,1,146,107
ASM_34,1,144,107
ASM_35,1,143,103
ASM_36,1,141,100
ASM_37,1,139,89
ASM_40,1,115,96
ASM_41,1,117,100
ASM_42,1,108,98
ASM_43,1,105,99
ASM_44,1,126,102
ASM_45,1,133,105
ASM_46,1,132,116
ASO_1,1,197,60
ASO_10,1,214,77
ASO_12,1,208,83
ASO_13,1,209,84
ASO_14,1,227,87
ASO_15,1,236,83
ASO_16,1,237,85
ASO_17,1,231,85
ASO_18,1,214,83
ASO_19,1,233,89
ASO_2,1,210,57
ASO_21,1,243,94
ASO_22,1,202,97
ASO_23,1,209,100
ASO_3,1,198,65
ASO_37,1,215,75
ASO_38,1,218,77
ASO_39,1,208,70
ASO_4,1,206,68
ASO_5,1,219,75
ASO_6,1,202,71
ASO_7,1,215,65
ASO_8,1,195,74
ASO_9,1,205,79
B1_BACA,1,102,143
B2_MOTUL,1,101,158
B3_SACAPUC,1,90,149
B4_TIMUL,1,85,144
CONAGUA,1,124,107
CU01,1,140,107
CU02,1,131,108
CU03,1,131,118
CU04,1,129,112
CU05,1,128,117
CU06,1,126,97
CU07,1,122,103
CU08,1,119,108
CU09,1,119,112
CU10,1,120,116
CU11,1,115,96
CU12,1,108,100
CU13,1,108,119
CU14,1,102,126
CU15,1,97,98
CU16,1,95,93
CU17,1,92,103
CU18,1,139,89
CU19,1,139,89
CU20,1,139,89
MI1_SIGLO_XX1,1,103,135
MI2_THO_O,1,94,136
MI3_HACIENDA_X_LUCH,1,86,136
MP1_FIUADY,1,111,109
MP2_KOMCHEN,1,101,110
MP3_PREDECO,1,86,109
MP4_CONTENEDORES,1,76,108
OBSERVATORIO,1,131,108
P1_CELEST_N,1,147,21
P2_CHUNCHUCMIL,1,187,29
P3_AMARIS_II,1,144,45
P4_NOHUAYUN,1,125,64
P5_SISAL,1,97,60
P6_TAMCHEN,1,143,69
RM_10_SAGARPA,1,120,116
RM_16_RANCHO,1,96,94
RM_17_DZIDZILCHE,1,92,103
RM_19_CRIO,1,87,124
RM_20_BAAG,1,78,122
RM01_DEPORTIVO_SUR,1,140,107
RM02_OBERVATORIO,1,131,108
RM03_ACUAPARQUE,1,131,118
RM04_BOMBEROS,1,128,66
RM05_PORTES_GIL,1,128,117
RM06_CHALMUCH,1,126,97
RM07_ANICABIL,1,122,103
RM08_CHENKU,1,119,108
RM09_TECNOLOGICO,1,119,112
RM11UCU,1,115,96
RM12CHEUMAN,1,108,101
RM13TIXCUYTUN,1,108,119
RM14MEGALITA,1,102,126
RM15SIERRA_PAPACAL,1,97,98
RM18_SAC_NICTE,1,94,118
