obsnme,leverage
asm_01,0.0064704635156643394
asm_02,0.012049915567234963
asm_03,0.01945796620355349
asm_04,0.00299648679431491
asm_05,0.0022542876064242955
asm_06,0.001528001683290017
asm_07,0.0008335637664570857
asm_08,0.002916634766452336
asm_09,0.0
asm_10,0.0
asm_11,0.0
asm_12,0.0006938314262576355
asm_13,0.0014218771999217285
asm_14,0.0015061079470159572
asm_15,0.013600931749241187
asm_16,0.003195227836011113
asm_17,0.0018033081285386407
asm_18,0.0016442385178567296
asm_19,0.002597806326853499
asm_20,0.0
asm_22,0.007345998079244834
asm_23,0.004506737799827568
asm_24,0.005071021504879487
asm_25,0.013668151165009594
asm_27,0.22479499495145017
asm_28,0.02059218381009184
asm_30,0.04353300125868564
asm_32,0.006364840539525295
asm_33,0.003883124179399544
asm_34,0.003883124179399544
asm_35,0.0031585181234482927
asm_36,0.01583028664368697
asm_37,0.012953263595131286
asm_40,0.0026276674417710882
asm_41,0.003362376792747247
asm_42,0.002196255806006178
asm_43,0.001528001683290017
asm_44,0.003729706243619467
asm_45,0.003329389450422052
asm_46,0.008004386298318508
aso_1,0.034688085924552914
aso_10,0.06017023135627662
aso_12,0.04408287237508658
aso_13,0.09952700470410845
aso_14,0.1175234243153196
aso_15,0.8358553181595486
aso_16,0.22715517436949673
aso_17,0.5366501844441369
aso_18,0.05545579725513438
aso_19,0.09011312661685898
aso_2,0.075215494191966
aso_21,0.7607033318763614
aso_22,0.1687643976294601
aso_23,0.15965074915305175
aso_3,0.05692881562363481
aso_37,0.01790190328954069
aso_38,0.038703480738122485
aso_39,0.01901544953125687
aso_4,0.05277156697993113
aso_5,0.07302785165083435
aso_6,0.0688065078518979
aso_7,0.08017785123093987
aso_8,0.021154299285763848
aso_9,0.06591085191266707
b1_baca,0.04064920216768798
b2_motul,0.07023186500691123
b3_sacapuc,0.02092881558053303
b4_timul,0.019387432539973513
conagua,0.15507797152860367
cu01,0.00886270545537749
cu02,0.01923345875473002
cu03,0.015479338822544195
cu04,0.023157242454781023
cu05,0.017856720881794432
cu06,0.007621015688151398
cu07,0.0199132106402555
cu08,0.011435034732898789
cu09,0.010808855166957997
cu10,0.01192655259659978
cu11,0.00815444190904374
cu12,0.006100698370825891
cu13,0.008744931532592416
cu14,0.006472610125765384
cu15,0.002315450275917705
cu16,0.005591970607521405
cu17,0.0017975645187060536
cu18,0.006608785297966458
cu19,0.006608785297966458
cu20,0.006608785297966458
mi1_siglo_xx1,0.04920297194313266
mi2_tho_o,0.027679532130299847
mi3_hacienda_x_luch,0.01870954172694475
mp1_fiuady,0.1370417887398625
mp2_komchen,0.05635719016060389
mp3_predeco,0.014968488160020055
mp4_contenedores,0.014764228470267192
observatorio,0.15079051051064246
p1_celest_n,0.12366461916977942
p2_chunchucmil,0.340619707975356
p3_amaris_ii,0.13799879229015655
p4_nohuayun,0.09283404382103543
p5_sisal,0.0931030563545285
p6_tamchen,0.07888206109391563
rm01_deportivo_sur,0.03545092817417188
rm02_obervatorio,0.09309004192569276
rm03_acuaparque,0.06191754104256081
rm04_bomberos,0.05124587484182478
rm05_portes_gil,0.04571323974233974
rm06_chalmuch,0.019509814794032014
rm07_anicabil,0.06451893151223329
rm08_chenku,0.04574027615225772
rm09_tecnologico,0.035020760782430285
rm11ucu,0.026420444626167782
rm12cheuman,0.02952741232651847
rm13tixcuytun,0.11318789382814524
rm14megalita,0.02589051817451415
rm15sierra_papacal,0.009261828889122513
rm18_sac_nicte,0.01306106749963905
rm_10_sagarpa,0.030531997546303116
rm_16_rancho,0.004698232881879158
rm_17_dzidzilche,0.008700221761689008
rm_19_crio,0.010312107584041321
rm_20_baag,0.018269335134396394
sgd_002,0.005929237748828738
sgd_003,0.0017659217480402532
sgd_004,1.32629699773834e-05
sgd_005,0.0005281286108114339
sgd_006,4.2921404485269454e-05
sgd_007,0.0002835939823500789
sgd_008,0.0002625747200110424
sgd_009,0.00016922444586429597
sgd_010,0.0009949284465340252
sgd_011,0.0005905379813542973
sgd_012,8.87007645613577e-05
sgd_013,0.00426146745463834
sgd_014,0.0
sgd_015,0.0016037287270930995
sgd_016,0.0012211762048070743
sgd_017,0.0003734238917344896
sgd_018,0.0015565373935231678
sgd_019,0.002123650236309945
sgd_020,0.012023748212825648
sgd_021,0.009636527722597148
sgd_022,1.6040190928765903e-05
w_1a_plantel_sn_juan,0.07135938108804135
w_1b_san_eduardo,0.09940570558490279
w_1c_quinta_rosario,0.08604516185859368
w_2a_dzilam_bravo,0.006535306128304655
w_2b_dzilam_glez,0.2250324456134165
w_2c_san_gregorio,0.19311479922289942
w_3a_san_felipe,0.0731475844647612
w_3b_santa_pilar,0.21998536806223606
w_3c_san_isidro,0.39214870814532043
w_4a_la_curva,0.00014407879920256715
w_4b_moctezuma,0.24635406691940892
w_4c_vista_hermosa,0.52769616519112
