obs_id,obs_id_raw
w_1A_PLANTEL_SN_JUAN,1A.- PLANTEL SN JUAN
w_1B_SAN_EDUARDO,1B.- SAN EDUARDO
w_1C_QUINTA_ROSARIO,1C.- QUINTA ROSARIO
w_2A_DZILAM_BRAVO,2A.- DZILAM BRAVO
w_2B_DZILAM_GLEZ,2B.- DZILAM GLEZ
w_2C_SAN_GREGORIO,2C.- SAN GREGORIO
w_3A_SAN_FELIPE,3A.- SAN FELIPE
w_3B_SANTA_PILAR,3B.- SANTA PILAR
w_3C_SAN_ISIDRO,3C.- SAN ISIDRO
w_4A_LA_CURVA,4A.- LA CURVA
w_4B_MOCTEZUMA,4B.- MOCTEZUMA
w_4C_VISTA_HERMOSA,4C.- VISTA HERMOSA
ASM_01,ASM-01
ASM_02,ASM-02
ASM_03,ASM-03
ASM_04,ASM-04
ASM_05,ASM-05
ASM_06,ASM-06
ASM_07,ASM-07
ASM_08,ASM-08
ASM_09,ASM-09
ASM_10,ASM-10
ASM_11,ASM-11
ASM_12,ASM-12
ASM_13,ASM-13
ASM_14,ASM-14
ASM_15,ASM-15
ASM_16,ASM-16
ASM_17,ASM-17
ASM_18,ASM-18
ASM_19,ASM-19
ASM_20,ASM-20
ASM_22,ASM-22
ASM_23,ASM-23
ASM_24,ASM-24
ASM_25,ASM-25
ASM_27,ASM-27
ASM_28,ASM-28
ASM_30,ASM-30
ASM_32,ASM-32
ASM_33,ASM-33
ASM_34,ASM-34
ASM_35,ASM-35
ASM_36,ASM-36
ASM_37,ASM-37
ASM_40,ASM-40
ASM_41,ASM-41
ASM_42,ASM-42
ASM_43,ASM-43
ASM_44,ASM-44
ASM_45,ASM-45
ASM_46,ASM-46
ASO_1,ASO-1
ASO_10,ASO-10
ASO_12,ASO-12
ASO_13,ASO-13
ASO_14,ASO-14
ASO_15,ASO-15
ASO_16,ASO-16
ASO_17,ASO-17
ASO_18,ASO-18
ASO_19,ASO-19
ASO_2,ASO-2
ASO_21,ASO-21
ASO_22,ASO-22
ASO_23,ASO-23
ASO_3,ASO-3
ASO_37,ASO-37
ASO_38,ASO-38
ASO_39,ASO-39
ASO_4,ASO-4
ASO_5,ASO-5
ASO_6,ASO-6
ASO_7,ASO-7
ASO_8,ASO-8
ASO_9,ASO-9
B1_BACA,B1.- BACA
B2_MOTUL,B2.- MOTUL
B3_SACAPUC,B3.- SACAPUC
B4_TIMUL,B4.- TIMUL
CONAGUA,CONAGUA
CU01,CU01
CU02,CU02
CU03,CU03
CU04,CU04
CU05,CU05
CU06,CU06
CU07,CU07
CU08,CU08
CU09,CU09
CU10,CU10
CU11,CU11
CU12,CU12
CU13,CU13
CU14,CU14
CU15,CU15
CU16,CU16
CU17,CU17
CU18,CU18
CU19,CU19
CU20,CU20
MI1_SIGLO_XX1,MI1.- SIGLO XX1
MI2_THO_O,MI2.- THO'O
MI3_HACIENDA_X_LUCH,MI3.- HACIENDA X'LUCH
MP1_FIUADY,MP1.- FIUADY
MP2_KOMCHEN,MP2.- KOMCHEN
MP3_PREDECO,MP3.- PREDECO
MP4_CONTENEDORES,MP4.-CONTENEDORES
OBSERVATORIO,OBSERVATORIO
P1_CELEST_N,P1.- CELESTÃšN
P2_CHUNCHUCMIL,P2.-CHUNCHUCMIL
P3_AMARIS_II,P3.- AMARIS II
P4_NOHUAYUN,P4.- NOHUAYUN
P5_SISAL,P5.- SISAL
P6_TAMCHEN,P6.- TAMCHEN
RM_10_SAGARPA,RM 10 SAGARPA
RM_16_RANCHO,RM 16 RANCHO
RM_17_DZIDZILCHE,RM 17 DZIDZILCHE
RM_19_CRIO,RM 19 CRIO
RM_20_BAAG,RM 20 BAAG
RM01_DEPORTIVO_SUR,RM01 DEPORTIVO SUR
RM02_OBERVATORIO,RM02 OBERVATORIO
RM03_ACUAPARQUE,RM03 ACUAPARQUE
RM04_BOMBEROS,RM04 BOMBEROS
RM05_PORTES_GIL,RM05 PORTES GIL
RM06_CHALMUCH,RM06 CHALMUCH
RM07_ANICABIL,RM07  ANICABIL
RM08_CHENKU,RM08  CHENKU
RM09_TECNOLOGICO,RM09  TECNOLOGICO
RM11UCU,RM11UCU
RM12CHEUMAN,RM12CHEUMAN
RM13TIXCUYTUN,RM13TIXCUYTUN
RM14MEGALITA,RM14MEGALITA
RM15SIERRA_PAPACAL,RM15SIERRA PAPACAL
RM18_SAC_NICTE,RM18 SAC NICTE
