,mfgw,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
mfgw,1.0,-0.03948975755303665,-0.21183541250358304,-0.08345853848287514,0.17212894405638798,0.21403368862688898,-0.0164282822262748,-0.02778417110254777,-0.29018309084368116
mk_rest_l1,-0.03948975755300289,1.0,-0.1387927969979168,0.2720224024573724,-0.28084128758037347,-0.21040704034798816,-0.0019821169216830106,-0.019838512433015976,0.12377725003694752
mk_rest_l2,-0.21183541250352855,-0.13879279699790384,1.0,0.11485129051364745,-0.18261248526847126,0.27290985227682063,0.08424075201969283,0.9607033202709246,-0.04752138334204253
mk_ring_l1,-0.08345853848274157,0.27202240245737397,0.11485129051361931,1.0,-0.9844299004992818,-0.37468789112680706,0.5502682249375025,0.12091699309089808,0.6489707174764192
mk_ring_l2,0.17212894405625384,-0.2808412875803806,-0.1826124852684531,-0.9844299004993012,1.0000000000000002,0.3705702607859831,-0.5342584548524253,-0.15495420852564884,-0.6495607951915379
mk_upland_l1,0.2140336886268684,-0.2104070403480027,0.27290985227679304,-0.3746878911268865,0.37057026078606076,0.9999999999999998,-0.727736036613064,0.36035155729997176,-0.8618201172581681
mk_upland_l2,-0.01642828222621217,-0.0019821169216722857,0.08424075201969725,0.5502682249375522,-0.5342584548524664,-0.7277360366130337,1.0000000000000002,0.033195573948316105,0.6832560558495182
mr_rest,-0.02778417110249146,-0.01983851243301138,0.9607033202709058,0.12091699309088998,-0.15495420852562983,0.3603515573000055,0.03319557394829386,0.9999999999999999,-0.15904785532770435
mr_upland,-0.29018309084361643,0.12377725003696093,-0.04752138334202513,0.6489707174764924,-0.6495607951916023,-0.8618201172581398,0.6832560558495291,-0.15904785532766816,1.0000000000000002
