name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw,0,0.25,-0.5,0.5,0.209247,0.249974,-0.290702,0.709195
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.89661,0.325191,-1.54699,-0.246228
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.256642,0.213557,-0.170472,0.683756
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.0577012,0.325256,-0.708214,0.592811
mk_ring_l2,0,0.25,-0.5,0.5,-0.220129,0.249974,-0.720077,0.279818
mk_upland_l1,0,0.305462,-0.610924,0.610924,-0.249082,0.305459,-0.859999,0.361835
mk_upland_l2,0,0.305462,-0.610924,0.610924,-0.493369,0.305423,-1.10421,0.117476
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.181821,-0.108369,0.618914
mr_upland,0,0.238561,-0.477121,0.477121,-0.678577,0.238255,-1.15509,-0.202067
