parnme,css_total,css_head,css_sgd,css_total_scaled,css_head_scaled,css_sgd_scaled,rank_total,rank_head,rank_sgd
mr_rest,19.772256962414367,19.77212499418181,0.07223989337318348,19.772256962414367,19.77212499418181,0.07223989337318348,1,1,1
mk_rest_l2,16.80939760045134,16.80939749933313,0.0018437658224984502,16.80939760045134,16.80939749933313,0.0018437658224984502,2,2,3
mr_upland,0.6384337461802714,0.6384326135455702,0.0012025901828241503,0.6384337461802714,0.6384326135455702,0.0012025901828241503,3,3,4
mk_ring_l2,0.33590027640347064,0.33589903950323047,0.0009115638952964037,0.33590027640347064,0.33589903950323047,0.0009115638952964037,4,4,5
mfgw_rest,0.33173825353693065,0.3317318612952138,0.0020593837296368515,0.33173825353693065,0.3317318612952138,0.0020593837296368515,5,5,2
mk_rest_l1,0.2701946597018063,0.27019322486008707,0.0008805515778621162,0.2701946597018063,0.27019322486008707,0.0008805515778621162,6,6,6
mk_upland_l2,0.0837273408258108,0.0837272791542043,0.00010162280959787077,0.0837273408258108,0.0837272791542043,0.00010162280959787077,7,7,8
mk_ring_l1,0.050734579234387796,0.050734445860302686,0.00011633287750853212,0.050734579234387796,0.050734445860302686,0.00011633287750853212,8,8,7
mk_upland_l1,0.026322402060826547,0.026322348949178655,5.287768413192173e-05,0.026322402060826547,0.026322348949178655,5.287768413192173e-05,9,9,9
mfgw_upland,0.002351880246437441,0.002351880246437441,2.9057406683853674e-16,0.002351880246437441,0.002351880246437441,2.9057406683853674e-16,10,10,10
