,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
mfgw_rest,1.0,-0.3881145420520774,0.0709892720053744,0.04818162463646643,0.025048061811514,0.05745853824049412,-0.22085986050642145,0.346746215015199,0.3069720894972367,-0.5088986861585421
mfgw_upland,-0.3881145420520694,1.0,-0.24025713317718855,-0.3367249532574232,-0.4747561779761538,0.46913692118713335,0.75129615791112,-0.7919506894874775,-0.5257276058784103,0.818466656958391
mk_rest_l1,0.07098927200540793,-0.2402571331773099,1.0,-0.07681371961079075,0.2025444770948854,-0.21224909935149824,-0.20831177430615994,0.06815877466367197,0.08029942827611927,-0.19190316949525377
mk_rest_l2,0.04818162463620294,-0.3367249532568565,-0.07681371961103724,1.0000000000000002,0.2167774533687585,-0.2732440297102146,-0.05199288682872116,0.263593230686906,0.9379369629326505,-0.3100377170706916
mk_ring_l1,0.025048061811516562,-0.47475617797631464,0.20254447709481294,0.21677745336922388,1.0,-0.9852988767989984,-0.09247387553041793,0.17303169723213338,0.2204835313853957,-0.0234744253042269
mk_ring_l2,0.05745853824050508,0.4691369211872594,-0.21224909935141684,-0.2732440297106537,-0.9852988767989729,1.0,0.10015872408882417,-0.17233743102512997,-0.24044230915896747,0.01662033855034248
mk_upland_l1,-0.2208598605064692,0.7512961579111769,-0.2083117743061197,-0.051992886829051975,-0.09247387553032678,0.10015872408875036,1.0,-0.9044535572189898,-0.19067187602656524,0.535249135807656
mk_upland_l2,0.34674621501518976,-0.7919506894874236,0.06815877466357963,0.26359323068725543,0.17303169723195957,-0.17233743102497961,-0.9044535572189224,1.0,0.3997026184095059,-0.6173895836831892
mr_rest,0.30697208949699845,-0.5257276058778961,0.08029942827587298,0.9379369629327925,0.22048353138495627,-0.24044230915856002,-0.1906718760262401,0.3997026184091938,1.0,-0.5516846740582699
mr_upland,-0.5088986861585107,0.8184666569582796,-0.19190316949514322,-0.31003771707110966,-0.023474425304050254,0.016620338550193976,0.5352491358075178,-0.6173895836831372,-0.5516846740586293,1.0
