parnme,parval1,css,css_scaled
mr_rest,1.0,19.772256962414367,19.772256962414367
mk_rest_l2,1.0,16.80939760045134,16.80939760045134
mr_upland,1.0,0.6384337461802714,0.6384337461802714
mk_ring_l2,1.0,0.33590027640347064,0.33590027640347064
mfgw_rest,1.0,0.33173825353693065,0.33173825353693065
mk_rest_l1,1.0,0.2701946597018063,0.2701946597018063
mk_upland_l2,1.0,0.0837273408258108,0.0837273408258108
mk_ring_l1,1.0,0.050734579234387796,0.050734579234387796
mk_upland_l1,1.0,0.026322402060826547,0.026322402060826547
mfgw_upland,1.0,0.002351880246437441,0.002351880246437441
